"query","search interest","increase percent"
"where to fax documents near me",1,"Breakout"
"cocofax",1,"110%"
"how to send a fax from printer",3,"100%"
"where can i fax something near me",1,"100%"
"fax zero",3,"90%"
"how to send a fax via email outlook",1,"70%"
"car max",1,"70%"
"how to fax a document from my computer",2,"60%"
"how to send a fax from outlook",1,"60%"
"fax cover sheet template",1,"60%"
"how to fax without a fax machine",15,"50%"
"library near me",1,"30%"
"how to fax something without a fax machine",1,"30%"
"how long does it take to fax something",2,"30%"
"fax plus",4,"30%"
"how to fax through email",4,"30%"
"online fax services free",2,"20%"
"can you fax from your phone",2,"20%"
"how to get a fax number",13,"20%"
"how to send a fax without a fax machine",3,"20%"
"fax near me",15,"10%"
"how long does it take to receive a fax",2,"10%"
"can i fax from my iphone",2,"10%"
"fax services",14,"10%"
"how to fax from android",2,"10%"
"online fax service",4,"10%"
"how much does it cost to fax at ups",2,"10%"
"free fax from computer",6,"10%"
"how long does it take for a fax to go through",1,"9%"
"dropbox",5,"9%"
"how to fax something from iphone",2,"7%"
"how long does a fax take to send",3,"7%"
"fax meaning",7,"6%"
"how to send fax from iphone",10,"5%"
"how to fac",6,"5%"
"fax cover sheet",5,"4%"
"how do you fax something",3,"4%"
"irs",19,"4%"
"how to fax something from printer",1,"3%"
"dropbox fax",5,"2%"
"fax number",100,"2%"
"how to send a fax from my computer",5,"1%"
"how to send a fax from iphone",7,"1%"
"what is a fax number",10,"1%"
"fax machine",45,"1%"
"how to fax from iphone",37,"1%"
"how to send fax from iphone free",2,"1%"
"free online fax",9,"1%"
"fax from iphone",37,"1%"
"how to fax from printer",12,"0%"